Date,Price,Open,High,Low,Vol.,Change %
2009-07-08,84.44,85.07,85.39,84.44,198.19K,-0.74%
2009-07-09,82.68,84.76,84.76,82.21,183.76K,-2.08%
2009-07-13,82.84,82.84,83.48,81.89,164.45K,0.19%
2009-07-14,82.53,82.53,82.84,82.21,56.18K,-0.37%
2009-07-15,82.68,82.68,82.68,82.21,106.55K,0.18%
2009-07-16,82.84,82.53,83.48,82.53,690.93K,0.19%
2009-07-17,82.84,84.12,84.44,82.84,2.18M,0.00%
2009-07-20,84.76,84.12,85.39,84.12,136.37K,2.32%
2009-07-21,86.19,86.03,87.94,86.03,2.58M,1.69%
2009-07-22,86.13,87.3,87.62,85.87,1.68M,-0.07%
2009-07-23,86.03,86.67,87.15,85.39,293.44K,-0.12%
2009-07-24,88.74,86.03,89.85,86.03,5.49M,3.15%
2009-07-27,89.22,90.81,91.77,88.9,817.87K,0.54%
2009-07-28,89.54,89.22,90.17,89.06,3.56M,0.36%
2009-07-29,88.1,89.54,89.85,87.94,810.81K,-1.61%
2009-07-30,87.94,88.26,88.9,87.62,845.18K,-0.18%
2009-07-31,86.51,87.62,87.94,85.39,377.71K,-1.63%
2009-08-03,84.76,87.3,87.3,84.76,236.48K,-2.02%
2009-08-04,85.39,84.76,86.67,84.76,1.60M,0.74%
2009-08-06,86.03,86.03,86.19,86.03,564.45K,0.75%
2009-08-07,85.87,86.03,86.67,85.55,310.70K,-0.19%
2009-08-10,85.07,86.03,86.03,84.76,79.40K,-0.93%
2009-08-11,84.6,84.92,85.39,84.44,132.13K,-0.55%
2009-08-12,82.84,84.76,84.76,82.68,305.53K,-2.08%
2009-08-13,82.84,83,83,82.53,569.00K,0.00%
2009-08-14,83,84.12,84.12,82.84,35.46K,0.19%
2009-08-17,83.64,83,84.12,83,1.08M,0.77%
2009-08-18,84.76,83.48,84.76,82.84,526.63K,1.34%
2009-08-19,85.07,85.39,85.71,84.76,200.23K,0.37%
2009-08-20,85.55,85.07,85.71,84.76,1.42M,0.56%
2009-08-21,85.39,85.87,87.3,85.39,2.63M,-0.19%
2009-08-24,85.87,85.87,86.03,85.39,2.77M,0.56%
2009-08-25,86.03,86.67,86.67,86.03,1.29M,0.19%
2009-08-26,86.19,86.03,86.67,86.03,385.24K,0.19%
2009-08-27,86.67,86.51,87.15,86.51,2.61M,0.56%
2009-08-28,86.35,87.15,87.15,86.03,2.75M,-0.37%
2009-08-31,86.19,86.67,86.67,86.03,92.27K,-0.19%
2009-09-01,86.67,86.03,86.67,86.03,1.03M,0.56%
2009-09-02,86.35,86.67,86.99,86.03,671.47K,-0.37%
2009-09-03,86.35,86.67,86.67,86.19,517.53K,0.00%
2009-09-07,86.99,86.67,87.3,86.67,289.36K,0.74%
2009-09-08,89.06,87.3,89.22,87.3,1.02M,2.38%
2009-09-09,90.97,89.22,91.29,89.22,998.33K,2.14%
2009-09-10,91.93,91.77,92.24,90.33,4.81M,1.06%
2009-09-11,93.2,91.93,94.95,91.93,1.97M,1.38%
2009-09-14,93.52,94.31,95.27,93.04,482.85K,0.34%
2009-09-15,93.84,93.68,94.63,93.04,4.51M,0.34%
2009-09-16,95.59,94.31,95.91,94.31,5.10M,1.86%
2009-09-17,98.46,95.75,100.05,95.59,2.31M,3.00%
2009-09-18,98.78,98.78,99.41,98.14,4.55M,0.33%
2009-09-22,98.78,98.78,99.09,98.14,4.89M,0.00%
2009-09-23,98.78,98.78,99.09,98.46,2.24M,0.00%
2009-09-24,97.5,98.93,98.93,97.02,104.82K,-1.30%
2009-09-25,97.34,98.14,98.78,97.18,305.68K,-0.16%
2009-09-28,95.75,97.5,97.5,95.43,246.52K,-1.63%
2009-09-29,96.07,95.43,96.7,94.31,398.27K,0.33%
2009-09-30,96.23,96.86,96.86,96.23,237.58K,0.17%
2009-10-01,97.5,95.91,98.14,95.91,982.01K,1.32%
2009-10-02,98.14,97.5,98.78,97.5,1.36M,0.66%
2009-10-05,98.14,98.14,98.62,98.14,701.44K,0.00%
2009-10-06,96.86,98.14,98.62,96.39,192.07K,-1.30%
2009-10-07,98.14,97.5,98.62,96.86,4.58M,1.32%
2009-10-08,98.46,98.78,98.78,97.82,342.25K,0.33%
2009-10-09,97.98,98.14,98.14,97.5,158.65K,-0.49%
2009-10-12,98.14,98.46,98.78,97.82,845.49K,0.16%
2009-10-13,97.98,98.14,98.46,97.5,64.02K,-0.16%
2009-10-14,98.14,97.98,98.3,97.66,646.36K,0.16%
2009-10-15,98.14,98.14,98.46,97.82,2.15M,0.00%
2009-10-16,97.5,97.82,97.82,97.5,383.83K,-0.65%
2009-10-19,94.31,95.75,95.75,90.17,583.12K,-3.27%
2009-10-20,89.22,94.31,94.31,88.74,600.54K,-5.40%
2009-10-21,89.38,89.22,92.08,86.35,1.17M,0.18%
2009-10-22,89.38,89.22,91.13,88.58,125.22K,0.00%
2009-10-23,92.08,91.13,92.24,89.22,372.85K,3.02%
2009-10-26,91.77,92.4,92.4,91.13,196.00K,-0.34%
2009-10-27,90.33,91.77,91.77,90.17,366.41K,-1.57%
2009-10-28,91.77,91.45,91.93,91.45,553.62K,1.59%
2009-10-29,90.33,91.29,91.29,90.01,223.46K,-1.57%
2009-10-30,90.49,89.85,90.65,89.85,150.02K,0.18%
2009-11-03,90.01,90.81,90.97,89.85,5.08M,-0.53%
2009-11-04,87.62,90.01,90.01,87.46,419.14K,-2.66%
2009-11-05,87.15,88.1,88.26,86.03,5.11M,-0.54%
2009-11-06,89.22,87.94,89.22,87.62,176.69K,2.38%
2009-11-09,87.3,88.58,88.58,87.3,6.42M,-2.15%
2009-11-10,87.3,87.3,87.62,86.51,5.19M,0.00%
2009-11-11,87.3,87.94,87.94,86.83,39.54K,0.00%
2009-11-12,89.85,87.94,90.17,87.94,163.67K,2.92%
2009-11-13,92.4,90.33,92.72,90.33,453.19K,2.84%
2009-11-16,91.29,92.72,92.72,91.13,54.61K,-1.20%
2009-11-17,91.61,92.24,92.24,91.45,60.73K,0.35%
2009-11-18,91.93,91.61,92.4,91.61,222.04K,0.35%
2009-11-19,91.13,91.93,91.93,90.97,11.77K,-0.87%
2009-11-20,91.13,91.13,91.45,89.85,388.54K,0.00%
2009-11-23,90.49,91.61,91.61,90.49,36.56K,-0.70%
2009-11-24,88.42,89.85,89.85,87.94,142.33K,-2.29%
2009-11-25,88.58,88.42,88.9,88.42,52.73K,0.18%
2009-11-26,89.69,88.9,90.17,88.9,53.51K,1.25%
2009-11-27,89.85,89.69,90.17,89.69,46.61K,0.18%
2009-11-30,93.04,90.17,93.2,89.85,321.85K,3.55%
2009-12-02,95.91,93.04,96.86,92.4,12.18M,3.08%
2009-12-03,97.18,96.86,97.5,96.86,7.99M,1.32%
2009-12-04,96.86,96.86,97.5,95.59,6.96M,-0.33%
2009-12-07,98.78,96.86,98.93,96.86,1.23M,1.98%
2009-12-08,99.57,98.78,99.73,98.78,1.43M,0.80%
2009-12-09,98.78,99.73,100.05,98.78,2.95M,-0.79%
2009-12-10,98.14,98.78,99.09,98.14,23.07K,-0.65%
2009-12-11,98.78,98.14,98.78,98.14,246.68K,0.65%
2009-12-14,98.14,98.14,98.14,98.14,1.33M,-0.65%
2009-12-15,101.48,98.14,101.96,98.14,7.96M,3.40%
2009-12-16,102.12,101.96,102.28,101.32,45.67M,0.63%
2009-12-17,101.96,102.12,102.28,101.96,2.91M,-0.16%
2009-12-18,102.28,102.12,102.44,101.96,169.32K,0.31%
2009-12-21,103.4,101.96,103.87,101.96,282.15K,1.10%
2009-12-22,109.61,103.87,110.25,103.87,2.65M,6.01%
2009-12-23,108.33,109.61,114.71,108.02,3.54M,-1.17%
2009-12-24,108.49,108.33,109.61,108.33,2.60M,0.15%
2009-12-28,108.65,108.33,109.61,108.33,357.47K,0.15%
2009-12-29,108.65,108.97,108.97,107.7,633.65K,0.00%
2009-12-30,109.29,108.33,109.61,108.33,129.30K,0.59%
2010-01-04,114.07,109.61,114.39,109.61,443.93K,4.37%
2010-01-05,114.71,114.71,117.1,114.07,825.56K,0.56%
2010-01-06,114.39,115.34,115.66,114.07,42.36M,-0.28%
2010-01-07,114.39,114.71,114.71,111.68,7.64M,0.00%
2010-01-08,114.71,114.71,114.87,114.07,588.46K,0.28%
2010-01-11,114.07,114.71,115.03,113.43,1.56M,-0.56%
2010-01-12,114.07,114.07,114.39,113.43,2.58M,0.00%
2010-01-13,114.07,114.07,114.55,113.43,420.08K,0.00%
2010-01-15,114.07,114.55,114.55,113.75,4.25M,0.00%
2010-01-18,113.43,114.39,114.39,113.11,227.54K,-0.56%
2010-01-19,111.2,113.43,113.43,110.88,264.26K,-1.97%
2010-01-20,111.52,111.52,113.43,111.52,1.66M,0.29%
2010-01-21,111.04,111.52,111.52,110.88,116.44K,-0.43%
2010-01-22,110.72,111.52,111.52,110.56,632.71K,-0.29%
2010-01-25,110.25,113.43,113.43,109.93,2.13M,-0.42%
2010-01-26,111.04,110.88,111.52,110.56,1.24M,0.72%
2010-01-28,112.48,111.52,113.43,110.88,1.44M,1.30%
2010-02-01,112.32,112.48,113.59,112.16,5.79M,-0.14%
2010-02-02,111.68,112.48,112.8,111.52,675.23K,-0.57%
2010-02-03,110.25,110.88,112.16,109.61,498.23K,-1.28%
2010-02-05,110.25,109.77,110.56,109.77,376.30K,0.00%
2010-02-08,109.29,110.25,110.25,108.33,1.54M,-0.87%
2010-02-09,108.18,108.49,108.49,106.26,1.12M,-1.02%
2010-02-10,106.58,107.7,108.33,106.42,63.24K,-1.48%
2010-02-11,104.35,106.42,106.42,104.19,178.42K,-2.09%
2010-02-12,103.56,104.51,104.51,103.24,383.67K,-0.76%
2010-02-15,105.31,104.51,106.26,104.19,928.35K,1.69%
2010-02-16,106.9,105.79,107.06,105.15,249.35K,1.51%
2010-02-17,107.06,107.06,107.7,105.79,175.28K,0.15%
2010-02-18,108.02,107.06,109.29,107.06,1.88M,0.90%
2010-02-19,108.33,108.65,108.65,107.7,207.45K,0.29%
2010-02-22,107.86,108.33,109.45,107.7,55.55K,-0.43%
2010-02-23,107.54,108.02,108.33,107.38,21.81K,-0.30%
2010-02-24,106.9,107.7,107.7,106.74,75.17K,-0.60%
2010-02-25,106.9,106.74,107.06,106.74,187.05K,0.00%
2010-02-26,107.22,107.06,107.7,106.42,101.21K,0.30%
2010-03-01,107.54,107.7,108.02,106.42,389.32K,0.30%
2010-03-02,108.33,107.7,108.49,107.06,246.21K,0.73%
2010-03-03,107.54,107.7,108.02,107.38,177.32K,-0.73%
2010-03-04,107.06,107.06,107.54,107.06,609.01K,-0.45%
2010-03-05,107.38,106.74,107.7,106.42,297.37K,0.30%
2010-03-08,107.06,107.7,107.7,107.06,41.27K,-0.30%
2010-03-09,106.42,106.74,106.9,106.26,443.15K,-0.60%
2010-03-10,106.1,106.42,106.42,105.63,234.91K,-0.30%
2010-03-11,106.9,106.42,107.06,106.1,197.09K,0.75%
2010-03-12,107.54,107.38,107.7,107.06,244.01K,0.60%
2010-03-15,107.7,106.42,108.18,106.42,4.84M,0.15%
2010-03-16,108.18,107.7,110.25,107.7,3.28M,0.45%
2010-03-17,107.7,108.33,108.97,107.7,2.83M,-0.44%
2010-03-18,108.33,108.33,108.33,107.7,6.17M,0.58%
2010-03-19,109.61,108.33,110.25,107.38,247.15K,1.18%
2010-03-22,108.33,110.25,110.25,107.86,2.13M,-1.17%
2010-03-23,108.33,108.97,110.25,108.33,7.01M,0.00%
2010-03-24,108.97,108.33,109.61,108.33,8.53M,0.59%
2010-03-25,113.43,109.13,114.39,109.13,2.97M,4.09%
2010-03-26,118.53,114.71,119.81,114.71,3.12M,4.50%
